Source,Target,Weight,
12146969,45717250,0.864050,
12169108,4597760,0.703048,
1217831,23096959,0.731059,
12225546,23096959,0.793892,
12243435,11545928,0.703048,
12243435,34876145,0.731059,
12256376,12169108,0.703048,
12256376,14562056,0.999998,
12256376,19716234,0.731059,
12256376,26820798,0.703048,
12256376,30084005,0.731059,
12256376,34133681,0.793892,
12278235,19382615,0.731059,
123299,143580,0.703048,
123299,6884828,0.982014,
12357974,11403699,0.731059,
12359519,4095287,0.703048,
12359519,9787757,0.691241,
12359519,9887009,0.731059,
12387090,33653601,0.731059,
12418525,2410676,0.703048,
12418525,6358188,0.731059,
12418999,23096959,0.731059,
12418999,5532320,0.703048,
12442243,4176043,0.793892,
12445598,3016562,0.999665,
12450349,29028775,0.703048,
12450349,596892,0.731059,
12467623,41003843,0.703048,
12467623,7691631,0.731059,
12467623,9787757,0.675038,
12499251,37489525,0.793892,
12499251,4950187,0.731059,
12499251,8594752,0.703048,
1252,37489525,0.703048,
1252,447184,0.731059,
1252,9787757,0.719168,
12570984,6093316,0.703048,
12590126,28924109,0.731059,
12601374,29028775,0.952574,
12646044,28062827,0.703048,
12646044,4297273,0.731059,
12658090,34068092,0.731059,
1267320,19076737,0.703048,
1267320,34876145,0.731059,
12708085,15901046,0.731059,
12716501,11621778,0.703048,
12716501,4037197,0.703048,
12756992,5108029,0.731059,
12756992,5108051,0.731059,
12785038,40508605,0.703048,
12785038,6452529,0.731059,
12791642,21233191,0.854761,
12791642,34876145,0.793892,
1283503,168370,0.703048,
1283503,23096959,0.703048,
12877731,8266573,0.731059,
1287859,2996011,0.837103,
12886172,11124336,0.731059,
12888993,19872456,0.793892,
12888993,24774658,0.703048,
12888993,38982731,0.982014,
12892263,13345709,0.731059,
12892263,25003905,0.731059,
12898486,106310,0.703048,
12915119,488514,0.880797,
12926963,18825519,0.731059,
12926963,2055965,0.793892,
129582,43371,0.731059,
12977854,9384267,0.731059,
1301745,1632976,0.880797,
1302990,29728425,0.731059,
1302990,30043131,0.703048,
13049233,4025121,0.731059,
13078968,22498444,0.731059,
13078968,321278,0.731059,
13078968,42318856,0.731059,
13078968,8634788,0.703048,
13124802,11939484,0.703048,
13124802,14430294,0.703048,
13124802,23096959,0.952574,
13124802,35312458,0.837103,
13124802,47372003,0.703048,
13124802,929845,0.703048,
13124802,9325315,0.703048,
13124802,9787757,0.691241,
13127985,1200050,0.731059,
13158707,14169882,0.854761,
132108,28457823,0.703048,
132108,417389,0.880797,
13221727,11061773,0.703048,
13221727,11778024,0.703048,
13221727,15884459,0.731059,
13221727,858127,0.731059,
13221727,9787757,0.691241,
13230665,29436244,0.703048,
13279839,10391073,0.731059,
13345709,38982731,0.703048,
13347640,21679569,0.837103,
13347640,238972,0.880797,
13347640,238986,0.880797,
13347640,363387,0.952574,
13384052,15155534,0.703048,
13384052,4648505,0.880797,
13410867,597879,0.731059,
13421878,20390951,0.703048,
13421878,4597760,0.731059,
13429048,12716501,0.837103,
13429048,14169882,0.731059,
13429048,31046054,0.703048,
13429048,9787757,0.731059,
13512328,11225014,0.731059,
13512328,20580498,0.703048,
13525050,3342046,0.880797,
13527761,247278,0.703048,
13527761,3610049,0.703048,
13567873,6094683,0.731059,
13591023,7470534,0.731059,
13599100,23384500,0.703048,
13599100,25003905,0.880797,
13599100,5532320,0.880797,
13617177,12418999,0.731059,
13619340,23774298,0.880797,
1362490,11939484,0.703048,
1362490,15388290,0.793892,
1362490,1778471,0.731059,
1362490,2410676,0.999983,
1362490,3060959,0.731059,
1362490,37489525,0.703048,
1362490,39595597,0.703048,
1362490,40233846,0.703048,
1362490,481872,0.703048,
1362490,931135,0.854761,
13633443,10851820,0.703048,
13633443,24795646,0.731059,
13671114,15508537,0.731059,
13695735,20092180,0.731059,
13739356,25527782,0.703048,
13739356,9787757,0.726371,
13753636,19238853,0.880797,
13753636,2055965,0.731059,
13753636,27051771,0.837103,
13753636,6296790,0.731059,
13753636,9252533,0.703048,
13779937,6604361,0.731059,
13807606,3638964,0.703048,
138312,3672542,0.731059,
138312,734934,0.703048,
1385122,11391151,0.703048,
1385122,11403699,0.793892,
1385122,1446467,0.731059,
1385122,1460385,0.880797,
1385122,17303641,0.793892,
1385122,2081289,0.731059,
1385122,28710753,0.731059,
1385122,4704710,0.731059,
1385122,929845,0.865529,
1390248,19008038,0.793892,
1390248,206084,0.731059,
1390248,263379,0.880797,
1390248,27,0.703048,
1390248,37489525,0.703048,
1390248,39577429,0.703048,
1390248,481872,0.731059,
1390248,7691631,0.837103,
1390248,9787757,0.698848,
13911118,6804324,0.731059,
13934856,6607925,0.865329,
13934856,6660536,0.731059,
14037931,6093316,0.880797,
14089735,1090311,0.703048,
14089735,11167738,0.703048,
14089735,12570984,0.731059,
14089735,22767401,0.703048,
14089735,22873447,0.854761,
14089735,25126616,0.703048,
14089735,26235440,0.703048,
14089735,2672652,0.731059,
14089735,321278,0.952574,
14089735,34262857,0.703048,
14089735,7691631,0.703048,
14089735,8514,0.837103,
14089735,9787757,0.675038,
14119537,10066825,0.731059,
14119537,21233191,0.703048,
14119537,32144511,0.703048,
14120618,32104924,0.837103,
14120618,35310228,0.731059,
14120618,9787757,0.721633,
14125254,13124802,0.703048,
14125254,7613257,0.703048,
14132156,13124802,0.703048,
14132156,17303641,0.731059,
14132156,3989388,0.703048,
14135470,108278,0.793892,
14135470,1390248,0.793892,
14145700,23623214,0.731059,
14145700,37489525,0.703048,
14159669,3623050,0.982014,
14159669,6498492,0.703048,
14169882,12716501,0.703048,
14169882,13429048,0.865529,
14169882,31267813,0.703048,
14169882,4000279,0.861524,
14169882,41835935,0.793892,
14169882,4597760,0.703048,
14169882,8962829,0.793892,
14169882,9568894,0.854761,
14169882,9787757,0.675038,
14185551,34876145,0.703048,
14186284,597879,0.731059,
14189339,9384267,0.731059,
14204295,9580168,0.731059,
14211461,11939484,0.731059,
14211461,17303641,0.703048,
14216341,13124802,0.731059,
14225208,16185172,0.952574,
14225208,17620347,0.952574,
14225208,21449162,0.731059,
14225208,29996513,0.731059,
14225208,5952670,0.793892,
14241623,23652126,0.703048,
14241623,34927706,0.703048,
14241623,9787757,0.675038,
1424470,10247874,0.837103,
1424470,14159669,0.703048,
1424470,14169882,0.793892,
1424470,25126616,0.793892,
1424470,4268140,0.880797,
1424470,4365205,0.703048,
14247166,10247874,0.731059,
14294585,30388450,0.731059,
14294585,4176043,0.731059,
1431547,5806776,0.703048,
143580,12442243,0.880797,
143580,203666,0.703048,
143580,286516,0.952574,
143580,6862780,0.731059,
143580,7691631,0.703048,
1440272,14430294,0.731059,
1440272,6612466,0.703048,
14410778,13124802,0.731059,
1441734,28062827,0.793892,
1441734,9787757,0.698848,
14430294,14132156,0.731059,
14430294,1440272,0.837103,
14430294,17303641,0.731059,
14430294,32405591,0.793892,
14430294,33052709,0.731059,
14430294,39073784,0.731059,
14430294,6862780,0.703048,
14445965,11921791,0.731059,
14445965,2163263,0.703048,
14448779,2081289,0.999089,
14448779,28710753,0.731059,
14448779,33653601,0.865526,
1446467,1020639,0.703048,
1446467,15045751,0.703048,
1446467,1549395,0.703048,
1446467,206084,0.880797,
1446467,2310495,0.703048,
1446467,3672542,0.703048,
1446467,4330620,0.703048,
1446467,8432681,0.703048,
1446467,9787757,0.691241,
1446467,9998516,0.703048,
14507,8514,0.731059,
1451352,6094683,0.703048,
1451352,6975711,0.703048,
1451352,8962829,0.731059,
14514251,1181927,0.731059,
14531737,1181927,0.952574,
14531737,11855195,0.793892,
14536054,17303641,0.793892,
14536054,17453060,0.731059,
14536054,18410674,0.731059,
14536054,34876145,0.793892,
14536054,355634,0.731059,
14562056,19076737,0.880797,
14562056,32353854,0.731059,
14562056,34876145,0.865528,
1460385,12791642,0.703048,
1460385,1446467,0.793892,
1460385,19872456,0.793892,
1460385,28710753,0.731059,
1460385,447036,0.703048,
1460385,8711353,0.703048,
1460385,9787757,0.675038,
14712850,17089728,0.731059,
14712850,19721399,0.703048,
14712850,2935735,0.703048,
14757566,9252533,0.731059,
14789533,13753636,0.731059,
148848,17303641,0.731059,
14895592,23404839,0.880797,
1489635,27790033,0.731059,
14909673,19864741,0.731059,
14909673,9325315,0.703048,
14909673,9787757,0.675038,
14936840,24560307,0.731059,
149696,17303641,0.731059,
14981376,14531737,0.703048,
14993021,1385122,0.880797,
14993021,33653617,0.731059,
14993021,33689746,0.731059,
14993021,34546968,0.703048,
14993021,9787757,0.703815,
15045751,10247874,0.731059,
15045751,11225014,0.703048,
15045751,1385122,0.703048,
15045751,15309233,0.703048,
15045751,19360616,0.731059,
15045751,22642120,0.731059,
15045751,27494663,0.952574,
15045751,31046054,0.731059,
15045751,32954806,0.837103,
15045751,6543378,0.793892,
15045751,7691631,0.731059,
15062869,2698821,0.703048,
15062869,29694418,0.793892,
15062869,7691631,0.703048,
1507818,35312458,0.731059,
15111821,13124802,0.952574,
15111821,4254338,0.731059,
15111821,6296790,0.703048,
15155534,13807606,0.703048,
15155534,46474436,0.731059,
15155534,9787757,0.691241,
15189073,1446467,0.793892,
15189073,5298790,0.880797,
15189073,9787757,0.675038,
1520275,614070,0.731059,
15233168,32885727,0.731059,
15241331,501687,0.731059,
15259244,321278,0.703048,
15280279,986551,0.703048,
15309233,19292203,0.703048,
15309233,26229585,0.731059,
15309233,33791453,0.793892,
15309233,3678731,0.837103,
15309233,9787757,0.691241,
15330613,18929235,0.731059,
15350898,36837280,0.982014,
15350898,943149,0.703048,
15355019,11167738,0.880797,
15382297,18802640,0.731059,
15382297,6670942,0.731059,
15388290,14125254,0.703048,
15388290,3877327,0.703048,
15388290,7691631,0.982014,
15388290,858127,0.703048,
15404425,10391073,0.731059,
15404425,1431547,0.703048,
15404425,9787757,0.691241,
15426083,10126908,0.703048,
15426083,20460946,0.880797,
15426083,23096959,0.703048,
15426083,46865435,0.703048,
15426083,5282596,0.864050,
15426083,5298790,0.703048,
15467734,24195339,0.731059,
1549395,12256376,0.703048,
1549395,23096959,0.703048,
1549395,3195124,0.731059,
1549395,33644564,0.880797,
15495333,5568076,0.703048,
1549991,19939216,0.861524,
1549991,28221116,0.952574,
15508537,24795646,0.703048,
15508537,596892,0.703048,
15508537,7691631,0.731059,
15510233,15510233,0.864984,
15510233,15510254,0.952574,
15510233,15510373,0.880797,
15510233,2129739,0.703048,
15510233,4176043,0.837103,
15510233,9787757,0.698848,
15510254,15510233,0.731059,
15510254,7691631,0.837103,
15510373,15510233,0.999089,
15510373,15510254,0.793892,
15536087,26229585,0.731059,
15584464,23096959,0.731059,
15647808,11924937,0.952574,
15653572,8049897,0.731059,
15693680,36960321,0.880797,
15693680,39969450,0.703048,
